_id,district,street,building,name,seats,enterpreneur_name,enterpreneur_name_2,area,code_phone_number,phone_number_1,phone_number_2,cellphone_number_1,cellphone_number_2,hours_of_work_monday,hours_of_work_tuesday',hours_of_work_wednesday',hours_of_work_thursday,hours_of_work_friday,hours_of_work_saturday,hours_of_work_sunday
551,Сихівський,Франка І.,161,"ресторан ""Арагви""",55.0,"ТзОВ ""Бон-Тон""",NULL,150.0,032,2951431.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,NULL,NULL
552,Залізничний,Любінська,191А,"кафе-бар ""Сателіт""",42.0,"СП ТзОВ ""Фаетон ЛТД"" (дир. Обувайло Є.В.)",NULL,NULL,032,2952120.0,NULL,NULL,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00
553,Франківський,Грюнвальдська,1.0,"кафе-бар ""Колорадо""",50.0,ФОП Сименюк Голина Миронівна,NULL,80.0,032,2952126.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
554,Залізничний,Щирецька,36.0,"""Гуцульський двір""",300.0,"ПП""Модель"" (кер. Хомишин Зоряна Романівна)",NULL,NULL,032,2952564.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
555,Франківський,Наукова,7Б,"кафе-ресторан ""Вишиванка""",60.0,ФОП Кухар Володимир Ігорович,NULL,100.0,032,2954138.0,NULL,NULL,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
556,Залізничний,Любінська,144,"""Шекспір""",96.0,"ТзОВ ""Британський дім"" (дир. Бабій Ольга Володимирівна)",NULL,378.0,032,2955295.0,NULL,NULL,NULL,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00
557,Личаківський,Садовського М.,2,Кафе-бар,22.0,Кооператив Саксесс,NULL,51.9,032,2955618.0,NULL,NULL,NULL,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,вихідний,вихідний
558,Галицький,Грабовського П.,11,Галицька цитадель,NULL,ТзОВ Галицька цитадель,NULL,NULL,032,2957777.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
559,Галицький,Братів Рогатинців,19,1000+1 ніч,50.0,Хомяк Н.В.,NULL,NULL,032,2970348.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
560,Галицький,Староєврейська,18,Тисяча і одна ніч,30.0,ПП Новий звук,NULL,53.2,032,2970348.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
561,Личаківський,Петрушевича,2,Hiresh Club,50.0,"ТОВ ""Сапфір К""",NULL,85.0,032,2976860.0,NULL,NULL,NULL,21:00-06:00,21:00-06:00,21:00-06:00,21:00-06:00,21:00-06:00,"",""
562,Личаківський,Зелена,73,"Кафе ""КАВА""",30.0,СПД Пущак І.І.,NULL,186.0,032,2980988.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
563,Галицький,"Шевченка Т., просп.",21,Вероніка,NULL,"ДП ""Албіс Компані ТзОВ"" Діаніум Трейдінг Ко.Лімітед""",NULL,NULL,032,2986028.0,NULL,NULL,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
564,Галицький,Личаківська,3,Золота рибка,55.0,ПП Сапсан-Сервіс,NULL,195.1,032,2986369.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
565,Галицький,"Данила Галицького,пл.",2,Дефіляда,30.0,Лин Р.М.,NULL,80.2,032,2995422.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
566,Сихівський,Драгана М.,2,"кафе бар ""Апельсин""",16.0,Юнко І.Г.,NULL,54.0,NULL,NULL,NULL,NULL,NULL,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,NULL,NULL
567,Галицький,Вірменська,2/3,Фляшка Кляйна,35.0,"ТзОВ ""Торгова компанія Європа контакт""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
568,Галицький,Вірменська,5,Лінивий пес,30.0,Смут В.В.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
569,Галицький,Болгарська,4А,Перлина парку,NULL,"ПП ""Домінікан""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
570,Галицький,Братів Рогатинців,7,Львівська мануфактура кави,30.0,ФОП Дума Л.С.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
571,Галицький,Братів Рогатинців,21,NULL,NULL,Рибарук Д.Д.,NULL,38.5,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
572,Галицький,Валова,13,Кебаб,10.0,Касіян Р.З,NULL,24.1,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
573,Галицький,Валова,19,Букет вина,20.0,Войцехівська Г.В.,NULL,52.5,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
574,Галицький,Вірменська,8,Кілікія,25.0,"ПП ""Буян""",NULL,86.8,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
575,Галицький,Вірменська,13,Доктор Фауст,20.0,Іващук Н.М.,NULL,62.8,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
576,Галицький,Вірменська,30,Човен,40.0,Музичка Р.П.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
577,Галицький,Галицька,4,Мапа,60.0,"ТзОв ""Ессет""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
578,Галицький,Галицька,13,Бейкер стріт,40.0,Бабак,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
579,Галицький,"Ринок, пл.",21,Піца Челентано на Ринку,100.0,"ТзОВ ""Піца Челентано на Ринку""",NULL,90.2,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
580,Галицький,Галицька,21,Білий кролик,50.0,Руденко Ю.В.,NULL,235.1,NULL,NULL,NULL,NULL,NULL,з 22.00,22:00-06:00,22:00-06:00,22:00-06:00,22:00-06:00,вихідний,вихідний
581,Галицький,Городоцька,15,Асторія,40.0,"ТзОВ ""Готель Асторія""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
582,Галицький,Друкарська,11,Бахчисарай,NULL,Ібрагімов В.Х.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
583,Галицький,Друкарська,11,Delikateka,NULL,Пилипчук Р.С.,NULL,48.3,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
584,Галицький,Джерельна,18,NULL,NULL,Худобяк І.В.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
585,Галицький,Звенигородська,3,Сант Федер,NULL,Кобилко М.В.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
586,Галицький,Краківська,14,Бартоломей,50.0,ТзОВ Бартоломей,NULL,168.7,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
587,Галицький,Федорова І.,2,NULL,NULL,Вей О.М.,NULL,205.2,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
588,Галицький,Кривоноса М.,19,Бабусині палюшки,20.0,Пп Аптечний склад Данфарм,NULL,110.4,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
589,Галицький,"Князя Ярослава Осмомисла, пл.",3,Перлина Львова,NULL,ПП Перлина Львова,NULL,108.8,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
590,Галицький,Лазнева,3,Маестро,50.0,ПП Тиса 2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
591,Галицький,Лазнева,3А,Піцерія Пепітто,20.0,Дикий,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
592,Галицький,Лесі Українки,15,Кафе-галерея АРТ-11 Хутін Пуйло,NULL,Мачеус В.В.,NULL,162.9,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
593,Галицький,Лесі Українки,15,ПАБ Білий Лев,30.0,ТзОВ Над Левом,NULL,288.6,NULL,NULL,NULL,NULL,NULL,12:00-02:00,12:00-02:00,12:00-02:00,12:00-02:00,12:00-02:00,вихідний,вихідний
594,Галицький,Лесі Українки,18,Wine and Coffee,10.0,Малек Тохме,NULL,36.5,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
595,Галицький,Лесі Українки,27,Корки та крихти,25.0,Смолій С.С.,NULL,89.0,NULL,NULL,NULL,NULL,NULL,09:30-23:30,09:30-23:30,09:30-23:30,09:30-23:30,09:30-23:30,вихідний,вихідний
596,Галицький,Лесі Українки,33,NULL,15.0,Смолій С.С.,NULL,40.5,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
597,Галицький,Листопадового Чину,14,Старий квартал,55.0,ПП Даяна,NULL,80.5,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
598,Галицький,Листопадового Чину,14,Піцерія,NULL,Новікова Н.с.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
599,Галицький,"Ринок, пл.",11,П’яна вишня,10.0,ТзОВ Бізнес-центр Лемки,NULL,31.7,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
600,Галицький,"Ринок, пл.",13,Львівські пляцки,20.0,ТзОВ Холдинг емоцій ФЕСТ,NULL,40.6,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
601,Галицький,"Ринок, пл.",19,Ресторан Під Левом,NULL,ТзОВ Краківський Ринок,NULL,406.1,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
602,Галицький,"Ринок, пл.",21,Ресторан Під Левом,NULL,ТзОВ Краківський Ринок,NULL,119.7,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
603,Галицький,"Ринок, пл.",45,Атляс,100.0,ТзОВ Атляс,NULL,258.9,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
604,Галицький,Руська,4,Манускрипт,20.0,Черняк Н.П,NULL,153.2,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
605,Галицький,Саксаганського П.,11,Піцерія,90.0,"ТзОВ ""Нектар""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
606,Галицький,Сербська,5,Старі мури,NULL,Артим А.В,NULL,28.1,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
607,Галицький,"Соборна, пл.",2,Coffe,NULL,Василько М.В,NULL,19.5,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
608,Галицький,"Соборна, пл.",NULL,Бігос Паб,NULL,Коваленко К.А,NULL,63.0,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
609,Галицький,"Старий Ринок, пл.",7,NULL,NULL,ПП Флінт,NULL,114.7,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
610,Галицький,Словацького Ю.,16,Піца Челентано,NULL,ТзОВ Піца Челентано плюс,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
611,Галицький,Ставропігійська,5,Старий Рояль,NULL,ТзОВ Старий Рояль,NULL,80.5,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
612,Галицький,Ставропігійська,7,Казанова,80.0,Тагірова А.К,NULL,175.3,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
613,Галицький,Староєврейська,4,Тікі Тай,NULL,Романинець О.В.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
614,Галицький,Староєврейська,5,Галицькі круасани,10.0,Галицький А.Є.,NULL,22.1,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
615,Галицький,Староєврейська,5,Букет вина,30.0,Вщйцехівська Г.В.,NULL,61.6,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
616,Галицький,Староєврейська,7,Familia,20.0,Романинець О.В.,NULL,33.3,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
617,Галицький,Староєврейська,9,Королівська пивоварня,60.0,ТзОВ Королівська пивоварня,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
618,Галицький,Староєврейська,25-27,Вінтаж,NULL,Волк Р.І,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
619,Галицький,Староєврейська,46,Караван Сарай,35.0,Ніконенко Д.О.,NULL,71.1,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
620,Галицький,Староєврейська,50,Теплий п’єц,40.0,Гой О.С.,NULL,76.0,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
621,Галицький,"Свободи, просп.",12,Віденська кавярня,30.0,"ТзОВ""Віденська кавярня""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
622,Галицький,"Свободи, просп.",7/1А,Львівські круасани,NULL,Галицький А.Є.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
623,Галицький,"Свободи, просп.",16-18,Княжий келих,15.0,"ТзОВ ""Бінп Лтд""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
624,Галицький,"Свободи, просп.",26,"ресторан ""Вечірній Львів""",NULL,"ТзОВ ""Вечірній Львів""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,09:00-02:00,09:00-02:00,09:00-02:00,09:00-02:00,09:00-02:00,вихідний,вихідний
625,Галицький,"Свободи, просп.",37,Креденс кафе,55.0,"ТзОВ ""Ессет""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
626,Галицький,"Свободи, просп.",43,Пінгвін,40.0,"ТзОв ""Пінгвін""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
627,Галицький,Сербська,3,Майстерня шоколаду,NULL,"ТОВ ""Шокоооооолад""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
628,Галицький,Сербська,5,Старі мури,NULL,Артим А.В.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
629,Галицький,"Чорновола В., просп.",25,Бар Когут,100.0,ТзОВ Сінема енд джаз,NULL,NULL,NULL,NULL,NULL,NULL,NULL,09:00-24:00,09:00-24:00,09:00-24:00,09:00-24:00,09:00-24:00,вихідний,вихідний
630,Галицький,Січових Стрільців,3,Бамбула,40.0,Цюцюра А.Я.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
631,Галицький,Проїзд Крива Липа,5,Бранч,20.0,"ПП ""В+К""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
632,Галицький,Проїзд Крива Липа,8,Міні бар,NULL,ПП Міні бар,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
633,Галицький,Проїзд Крива Липа,9,Тікі Тай,20.0,Хобзей С.П.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
634,Галицький,Проїзд Крива Липа,7,Банка,NULL,"ТзОВ ""Доза проджект""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
635,Галицький,"Шевченка Т., просп.",27,Шкоцька,NULL,"ТзОВ Проджект Інвест капітал""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
636,Галицький,Чайковського П.,37,Купол,20.0,ПП Купол,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
637,Галицький,"Різні, пл.",8,"кавярня ""Фпанс.уа""",NULL,Бундз Василь Стефанович,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
638,Залізничний,Виговського І.,29,NULL,20.0,Полюга Галина Володимирівна,NULL,300.0,NULL,NULL,NULL,NULL,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
639,Залізничний,Городоцька,116А,"""Млинці""",20.0,Попова Іраїда Євстахіївна,NULL,20.0,NULL,NULL,NULL,NULL,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
640,Залізничний,Городоцька,116А,"""Кафе""",12.0,Попова Іраїда Євстахіївна,NULL,20.0,NULL,NULL,NULL,NULL,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
641,Залізничний,Городоцька,116А,"""Кафе Експрес""",32.0,Попова Іраїда Євстахіївна,NULL,20.0,NULL,NULL,NULL,NULL,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
642,Залізничний,Городоцька,116Б,"""Кафе""",12.0,Попова Іраїда Євстахіївна,NULL,25.0,NULL,NULL,NULL,NULL,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
643,Залізничний,Городоцька,116Б,"""При вокзалі""",14.0,Попова Іраїда Євстахіївна,NULL,20.0,NULL,NULL,NULL,NULL,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
644,Залізничний,Городоцька,222,NULL,30.0,Герасименко Мирослав Васильович,NULL,32.0,NULL,NULL,NULL,NULL,NULL,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,вихідний,вихідний
645,Личаківський,Личаківська,60,"Піцерія ""Тропікано""",NULL,"СПД Зинов""єв Євген Ігоревич",NULL,65.9,NULL,NULL,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
646,Личаківський,Сковороди Г.,10,"Піцерія ""Бістро Хіт-обід""",14.0,ПП Зінов'єва О.П.,NULL,80,NULL,NULL,NULL,NULL,NULL,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,вихідний,вихідний
647,Личаківський,Ялівець,1,"Кафе ""Шоколад""",20.0,"ТзОВ ""Серкон""",NULL,30.0,NULL,NULL,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
648,Сихівський,Антоненка-Давидовича Б.,8.0,"кафе ""Енергія""",50.0,Долівська О.І.,NULL,100.0,NULL,NULL,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
649,Сихівський,Сихівська,20,кафе,30.0,Савицька М.С.,NULL,60.0,NULL,NULL,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,NULL,NULL
650,Сихівський,Стрийська ,109,кафе,20.0,Волянюк О.І.,NULL,30.0,NULL,NULL,NULL,NULL,NULL,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,NULL,NULL
651,Сихівський,"Червоної Калини, просп. ",109,Кафе-бар “Санта Барбара”,24.0,Люзан Г.В.,NULL,32.0,NULL,NULL,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
652,Сихівський,"Червоної Калини, просп. ",102,"кафе ""Медобори""",30.0,Куриляк О.Б.,NULL,50.0,NULL,NULL,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
653,Сихівський,Хуторівка,40А,"бар ""Тустань""",16.0,Дідушок І.Є.,NULL,18.0,NULL,NULL,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
654,Франківський,Симоненка В.,4.0,"кафе ""Віденська випічка""",9.0,ФОП Ковальчук Ірина,NULL,20.0,NULL,NULL,NULL,NULL,NULL,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,вихідний,вихідний
655,Франківський,Володимира Великого,111А,"бар ""Кальмар""",30.0,"ТзОВ ""Кальмар""",NULL,45.0,NULL,NULL,NULL,NULL,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,вихідний,вихідний
656,Франківський,Володимира Великого,51.0,"ресторан ""Марсель""",80.0,ФОП Горбунов Олег Васильович,NULL,100.0,NULL,NULL,NULL,NULL,NULL,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,вихідний,вихідний
657,Франківський,Володимира Великого,51.0,"кафе ""Таксі ""Марсель""",40.0,ФОП Горбунов Олег Васильович,NULL,60.0,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
658,Франківський,Володимира Великого,59А,"бістро ""Смачні сезони""",120.0,ФОП Перун Роман Іванович,NULL,200.0,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
659,Франківський,Володимира Великого,61.0,"бар ""Бар""",30.0,"ТзОВ ""Орієнт-Експрес""",NULL,40.0,NULL,NULL,NULL,NULL,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
660,Франківський,Володимира Великого,67А,"корчма ""Сучасність""",50.0,ФОП Збирко Ольга Іванівна,NULL,80.0,NULL,NULL,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
661,Франківський,"Чупринки Т.,ген.",26.0,"""Веселий ктулху""",NULL,ФОП Кріштопа Михайло Васильович,NULL,NULL,NULL,NULL,NULL,NULL,NULL,до вересня відпустка,до вересня відпустка,до вересня відпустка,до вересня відпустка,до вересня відпустка,вихідний,вихідний
662,Франківський,Героїв УПА ,73.0,"кафе ""Кафе ""Домашньої кухні""",NULL,ФОП Будзінський Михайло Романович,NULL,50.0,NULL,NULL,NULL,NULL,NULL,у приміщенні ремонт,у приміщенні ремонт,у приміщенні ремонт,у приміщенні ремонт,у приміщенні ремонт,у приміщенні ремонт,у приміщенні ремонт
